created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Tue Jul 27 09:04:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Empty,-0.1,0.5,en,20,28,aproko_doctor,1117925,9395,,,Kits_Shop,Lagos Nigeria
Tue Jul 27 08:04:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Empty,-0.1,0.5,en,0,0,aproko_doctor,1117925,9395,,,DrTSquare,Lagos Nigeria
Tue Jul 27 08:03:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Empty,-0.1,0.5,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Tue Jul 27 08:03:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Empty,-0.1,0.5,en,203,76,aproko_doctor,1117925,9395,,,Chydee,Lagos Nigeria
Tue Jul 27 07:54:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Empty,-0.1,0.5,und,0,0,aproko_doctor,1117925,9395,,,chemicalbrodar,Lagos Nigeria
